Date, Mood
5/15/2022, ok
5/16/2022, tired
5/17/2022, ok
5/18/2022, amazing
5/19/2022, ok
5/20/2022, tired
5/21/2022, ok
5/22/2022, stressed
5/23/2022, tired
5/24/2022, sad
5/25/2022, stressed
5/26/2022, tired
5/27/2022, ok
5/28/2022, ok
5/29/2022, sad
5/30/2022, tired
5/31/2022, tired
6/1/2022, ok
6/2/2022, ok
6/3/2022, ok
6/4/2022, ok
6/5/2022, sad
6/6/2022, tired
6/7/2022, ok
6/8/2022, ok
6/9/2022, ok
6/10/2022, ok
6/11/2022, ok
6/12/2022, tired
6/13/2022, tired
6/14/2022, tired
6/15/2022, stressed
6/16/2022, amazing
6/17/2022, ok
6/18/2022, tired
6/19/2022, ok
6/20/2022, ok
6/21/2022, ok
6/22/2022, ok
6/23/2022, ok
6/24/2022, ok
6/25/2022, ok
6/26/2022, ok
6/27/2022, ok
6/28/2022, amazing
6/29/2022, amazing
6/30/2022, amazing
7/1/2022, ok
7/2/2022, tired
7/3/2022, tired
7/4/2022, ok
7/5/2022, ok
7/6/2022, ok
7/7/2022, ok
7/8/2022, ok
7/9/2022, tired
7/10/2022, tired
7/11/2022, ok
7/12/2022, tired
7/13/2022, ok
7/14/2022, ok
7/15/2022, ok
7/16/2022, ok
7/17/2022, ok
7/18/2022, amazing
7/19/2022, amazing
7/20/2022, amazing
7/21/2022, sad
7/22/2022, tired
7/23/2022, tired
7/24/2022, ok
7/25/2022, ok
7/26/2022, tired
7/27/2022, ok
7/28/2022, tired
7/29/2022, amazing
7/30/2022, ok
7/31/2022, tired
8/1/2022, sad
8/2/2022, ok
8/3/2022, sad
8/4/2022, stressed
8/5/2022, ok
8/6/2022, ok
8/7/2022, ok
8/8/2022, tired
8/9/2022, tired
8/10/2022, sad
8/11/2022, stressed
8/12/2022, tired
8/13/2022, tired
8/14/2022, amazing
8/15/2022, ok
8/16/2022, ok
8/17/2022, ok
8/18/2022, amazing
8/19/2022, tired
8/20/2022, tired
8/21/2022, tired
8/22/2022, amazing
8/23/2022, ok
8/24/2022, sad
8/25/2022, ok
8/26/2022, sad
8/27/2022, sad
8/28/2022, ok
8/29/2022, tired
8/30/2022, ok
8/31/2022, ok
9/1/2022, sad
9/2/2022, ok
9/3/2022, ok
9/4/2022, tired
9/5/2022, tired
9/6/2022, ok
9/7/2022, ok
9/8/2022, sad
9/9/2022, amazing
9/10/2022, amazing
9/11/2022, amazing
9/12/2022, stressed
9/13/2022, sad
9/14/2022, sad
9/15/2022, ok
9/16/2022, tired
9/17/2022, ok
9/18/2022, ok
9/19/2022, tired
9/20/2022, tired
9/21/2022, sad
9/22/2022, ok
9/23/2022, ok
9/24/2022, sad
9/25/2022, stressed
9/26/2022, stressed
9/27/2022, sad
9/28/2022, amazing
9/29/2022, tired
9/30/2022, ok
10/1/2022, ok
10/2/2022, ok
10/3/2022, tired
10/4/2022, ok
10/5/2022, tired
10/6/2022, ok
10/7/2022, ok
10/8/2022, tired
10/9/2022, amazing
10/10/2022, amazing
10/11/2022, amazing
10/12/2022, stressed
10/13/2022, ok
10/14/2022, tired
10/15/2022, ok
10/16/2022, ok
10/17/2022, ok
10/18/2022, tired
10/19/2022, amazing
10/20/2022, amazing
10/21/2022, amazing
10/22/2022, amazing
10/23/2022, ok
10/24/2022, amazing
10/25/2022, ok
10/26/2022, ok
10/27/2022, ok
10/28/2022, tired
10/29/2022, tired
10/30/2022, ok
10/31/2022, amazing
11/1/2022, ok
11/2/2022, tired
11/3/2022, sad
11/4/2022, stressed
11/5/2022, stressed
11/6/2022, stressed
11/7/2022, stressed
11/8/2022, stressed
11/9/2022, sad
11/10/2022, ok
11/11/2022, ok
11/12/2022, amazing
11/13/2022, ok
11/14/2022, ok
11/15/2022, ok
11/16/2022, stressed
11/17/2022, tired
11/18/2022, ok
11/19/2022, ok
11/20/2022, stressed
11/21/2022, tired
11/22/2022, ok
11/23/2022, stressed
11/24/2022, amazing
11/25/2022, amazing
11/26/2022, ok
11/27/2022, tired
11/28/2022, ok
11/29/2022, tired
11/30/2022, ok
12/1/2022, ok
12/2/2022, tired
12/3/2022, sad
12/4/2022, ok
12/5/2022, stressed
12/6/2022, ok
12/7/2022, stressed
12/8/2022, stressed
12/9/2022, stressed
12/10/2022, stressed
12/11/2022, ok
12/12/2022, stressed
12/13/2022, tired
12/14/2022, ok
12/15/2022, amazing
12/16/2022, ok
12/17/2022, ok
12/18/2022, sad
12/19/2022, tired
12/20/2022, tired
12/21/2022, ok
12/22/2022, ok
12/23/2022, ok
12/24/2022, stressed
12/25/2022, ok
12/26/2022,tired
12/27/2022, ok
12/28/2022, ok
12/29/2022, ok
12/30/2022,tired
12/31/2022, ok
